node_id,initial_energy,remaining_energy,lifetime
0,100,8.45658,300
1,100,0,264.052
2,100,9.62737,300
3,100,9.65221,300
4,100,9.84099,300
5,100,0,248.754
6,100,0,278.84
7,100,4.9861,300
8,100,9.14887,300
9,100,9.19524,300
10,100,0,289.488
11,100,5.21714,300
12,100,8.66894,300
13,100,9.15425,300
14,100,9.53535,300
15,100,9.72717,300
16,100,9.17424,300
17,100,9.15278,300
18,100,9.18205,300
19,100,9.17948,300
20,100,9.85651,300
21,100,9.2022,300
22,100,9.64355,300
23,100,9.68877,300
24,100,9.84014,300
