num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,703439.2,18758.38,1366.3,0.7462043,3.6,0.00948553,7.0,2500.0,202.6484,299.0901
2,1462732.44444,39006.2033333,2835.88888889,0.774409833333,4.11111111111,0.0108045288889,18.8888888889,2500.0,167.341444444,297.393555556
3,2004382.4,53450.21,3883.4,0.7069724,4.199999,0.010869789,18.7,2500.0,155.9948,295.9929
4,2537735.2,67672.93,4917.3,0.6713954,4.344643,0.01116239,17.4,2500.0,139.20564,294.0167
5,3153877.6,84103.33,6105.1,0.6668594,4.204444,0.010654093,30.2,2500.0,128.19686,292.0288
6,3692848.8,98475.89,7138.2,0.6497544,4.224999,0.010581052,47.0,2500.0,116.11232,289.8493
7,4264982.4,113732.88,8232.2,0.6422877,4.195238,0.010614666,61.4,2500.0,106.38502,287.8087
8,4711177.6,125631.53,9099.7,0.6212248,4.059135,0.010141784,58.0,2500.0,105.70879,287.0823
9,5268329.6,140488.66,10178.7,0.6176772,3.982222,0.009961773,50.6,2500.0,96.62,285.4657
10,5823734.4,155299.45,11225.7,0.6130913,4.010294,0.010073965,94.9,2500.0,92.2658,282.8932
11,6156574.22222,164175.288889,11845.2222222,0.588115,4.24442888889,0.0106120944444,110.555555556,2500.0,88.0815888889,281.463555556
12,6754620.57143,180123.142857,13006.5714286,0.591961428571,4.28157428571,0.0110215528571,126.428571429,2500.0,81.8162285714,278.690857143
13,7046488.8,187906.32,13571.6,0.5701632,4.202153,0.010456636,117.8,2500.0,80.19278,278.0039
14,7523483.2,200626.28,14486.2,0.5651166,4.108863,0.010156418,149.6,2500.0,75.81488,276.6846
15,7816547.55556,208441.222222,15043.4444444,0.547731444444,4.17590111111,0.0104014988889,149.0,2500.0,75.6716111111,275.749333333
16,8395024.8,223867.4,16156.5,0.5514916,4.141633,0.010482698,178.2,2500.0,73.81056,275.0754
17,8804413.6,234784.4,16910.8,0.543284,4.162413,0.010659947,182.5,2500.0,69.56874,274.7416
18,9297749.6,247940.1,17864.3,0.5420323,4.185907,0.010699873,172.2,2500.0,68.55113,273.6793
19,9471409.6,252571.0,18209.4,0.5234242,4.143233,0.010461876,171.5,2500.0,66.24006,272.98
20,9710461.6,258945.6,18662.6,0.5096287,4.108515,0.010390037,164.9,2500.0,65.31779,273.1676
21,10214615.2,272389.8,19642.8,0.5108527,4.098148,0.010311565,202.5,2500.0,61.02213,272.4986
22,10590606.4,282416.1,20334.1,0.5047938,4.11864,0.010431452,238.6,2500.0,58.94895,270.1741
23,11250128.0,300003.5,21592.1,0.5127182,4.166784,0.010428502,255.6,2500.0,55.70855,269.7132
24,11816026.4,315093.9,22681.6,0.5161479,4.134313,0.010165395,241.6,2500.0,52.9676,267.9048
