node_id,initial_energy,remaining_energy,lifetime
0,100,7.61308,300
1,100,0,247.459
2,100,0,296.614
3,100,0,297.997
4,100,0.0719162,300
5,100,0,258.878
6,100,0,266.709
7,100,8.07371,300
8,100,8.60942,300
9,100,8.75532,300
10,100,2.62719,300
11,100,1.32355,300
12,100,7.28861,300
13,100,8.58401,300
14,100,9.19825,300
15,100,2.74506,300
16,100,4.87518,300
17,100,8.41618,300
18,100,8.80481,300
19,100,9.16819,300
20,100,0.142659,300
21,100,5.79092,300
22,100,9.45647,300
23,100,9.59531,300
24,100,9.84566,300
