num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,880076.8,24990.66,1713.5,0.7019664,3.6,0.008909344,0.0,2500.0,0.0,324.3496
2,1715100.0,48335.25,3334.9,0.6831011,4.05,0.010147108,0.1,2500.0,0.0,317.3105
3,2392883.2,70265.77,4652.6,0.6353407,4.199999,0.010440979,1.1,2500.0,0.0,311.521
4,3008365.6,90602.48,5844.5,0.5985765,4.35,0.010930727,4.7,2500.0,0.0,306.3922
5,3546966.4,111841.35,6894.9,0.5649241,4.22,0.01052108,4.6,2500.0,0.0,302.8666
6,4096550.4,133214.9,7958.1,0.5433633,4.233333,0.010553603,3.2,2500.0,0.0,299.4416
7,4652039.2,154869.82,9029.9,0.5284662,4.214285,0.010488371,4.5,2500.0,0.0,296.3506
8,5111560.8,175025.61,9928.5,0.5084237,4.0875,0.010145897,10.8,2500.0,0.0,294.9829
9,5678757.6,200227.3,11026.7,0.5019209,4.022222,0.010007737,8.9,2500.0,0.0,292.2797
10,6190691.2,220996.6,12010.6,0.4920359,4.04,0.01005458,17.6,2500.0,0.0,290.1154
11,6537392.0,236714.333333,12682.8888889,0.472343222222,4.28282888889,0.0106751866667,20.3333333333,2500.0,0.0,285.587444444
12,7079098.4,261056.6,13724.5,0.468541,4.2,0.010481153,29.4,2500.0,0.0,283.6832
13,7546112.8,278660.0,14618.3,0.4606655,4.238461,0.010608537,29.2,2500.0,0.0,281.5398
14,8032625.6,299977.1,15564.4,0.4554457,4.150001,0.010394035,34.9,2500.0,0.0,280.6761
15,8471096.0,320080.7,16416.9,0.4483653,4.125058,0.010272205,39.1,2500.0,0.0,277.891
16,9000834.4,345983.0,17433.2,0.4463643,4.154032,0.010372848,36.7,2500.0,0.0,276.5606
17,9425773.6,365553.3,18252.9,0.4398606,4.151336,0.010329679,54.6,2500.0,0.0,274.38
18,9790540.8,381011.1,18955.6,0.4314169,4.16508,0.01037151,73.3,2500.0,0.0,273.0604
19,10192064.8,404332.9,19729.9,0.4254058,4.163726,0.01040279,72.5,2500.0,0.0,271.2374
20,10432624.8889,418253.333333,20187.2222222,0.413503111111,4.09210555556,0.0101334377778,83.5555555556,2500.0,0.0,271.759555556
21,10953410.4,447522.7,21206.8,0.4137024,4.100001,0.01008869,89.3,2500.0,0.0,269.5031
22,11362901.6,466107.9,21998.1,0.4096328,4.106036,0.010038986,103.9,2500.0,0.0,267.6266
23,11710568.0,484703.4,22686.3,0.4040805,4.130288,0.010131135,122.4,2500.0,0.0,265.6621
24,12310919.2,510369.8,23830.2,0.4067698,4.140479,0.010183013,134.8,2500.0,0.0,264.1621
