node_id,initial_energy,remaining_energy,lifetime
0,100,9.05295,300
1,100,0,277.364
2,100,9.07981,300
3,100,8.77553,300
4,100,7.84108,300
5,100,0,280.968
6,100,5.95479,300
7,100,6.05789,300
8,100,8.33749,300
9,100,7.17401,300
10,100,9.30721,300
11,100,8.39259,300
12,100,7.80749,300
13,100,8.47877,300
14,100,8.52121,300
15,100,9.74685,300
16,100,9.08355,300
17,100,9.03503,300
18,100,8.57438,300
19,100,8.17296,300
20,100,9.85243,300
21,100,9.15469,300
22,100,9.49914,300
23,100,9.61938,300
24,100,8.94441,300
