node_id,lifetime
0,326.7379
1,260.7141
2,297.0659
3,312.3206
4,319.9724
5,264.0873
6,273.165
7,293.2118
8,306.5835
9,325.6242
10,296.4206
11,290.5194
12,307.2388
13,312.7193
14,325.4406
15,317.272
16,307.046
17,318.9285
18,323.925
19,324.8663
20,320.8332
21,321.3013
22,321.5746
23,327.4056
24,331.105
