node_id,initial_energy,remaining_energy,lifetime
0,100,9.26911,300
1,100,0,291.08
2,100,0,291.505
3,100,0,292.087
4,100,0,294.076
5,100,9.08714,300
6,100,8.4493,300
7,100,8.50003,300
8,100,8.83476,300
9,100,8.62781,300
10,100,9.6251,300
11,100,8.81618,300
12,100,8.93491,300
13,100,9.13371,300
14,100,9.16907,300
15,100,9.66227,300
16,100,9.11813,300
17,100,9.14279,300
18,100,9.16487,300
19,100,9.11492,300
20,100,9.86968,300
21,100,9.19312,300
22,100,9.62177,300
23,100,9.66133,300
24,100,9.80469,300
