node_id,initial_energy,remaining_energy,lifetime
0,100,8.52237,300
1,100,0.71007,300
2,100,9.68695,300
3,100,9.70142,300
4,100,9.86108,300
5,100,0,271.338
6,100,0,281.999
7,100,9.15786,300
8,100,9.16246,300
9,100,9.19739,300
10,100,0,284.687
11,100,0,284.171
12,100,9.17435,300
13,100,9.17029,300
14,100,9.50366,300
15,100,9.69192,300
16,100,9.1766,300
17,100,9.1524,300
18,100,9.16833,300
19,100,9.18553,300
20,100,9.86283,300
21,100,9.17665,300
22,100,9.61817,300
23,100,9.66502,300
24,100,9.8592,300
