node_id,initial_energy,remaining_energy,lifetime
0,100,8.51363,300
1,100,0,273.976
2,100,7.25966,300
3,100,9.71906,300
4,100,9.84422,300
5,100,0,295.579
6,100,0.497499,300
7,100,0,294.753
8,100,0,287.198
9,100,9.15007,300
10,100,6.99433,300
11,100,5.63943,300
12,100,5.9544,300
13,100,1.78923,300
14,100,3.56304,300
15,100,9.65104,300
16,100,8.85689,300
17,100,9.07521,300
18,100,9.08364,300
19,100,5.45177,300
20,100,9.85135,300
21,100,9.1767,300
22,100,9.54543,300
23,100,9.1861,300
24,100,9.85879,300
