num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,505718.0,22256.53125,970.375,0.3975319,4.0625,0.01100791375,18.5,2500.0,0.0,327.2365
2,1279336.88889,41938.5333333,2448.0,0.501433855556,4.07407444444,0.0117019477778,40.6666666667,2500.0,0.0,322.121111111
3,1804358.4,52132.37,3481.9,0.4754745,4.149999,0.011970159,40.1,2500.0,0.0,319.0294
4,2367352.0,68607.26,4564.5,0.4674827,4.272143,0.011639356,54.3,2500.0,0.0,315.266
5,2754783.2,80605.08,5304.8,0.4346415,4.174444,0.01110363,68.7,2500.0,0.0,313.4936
6,3372904.8,101752.97,6489.5,0.4430902,4.258333,0.011212323,72.0,2500.0,0.0,310.0377
7,4075740.0,127909.76,7826.1,0.4580149,4.260715,0.011179154,97.4,2500.0,0.0,305.3303
8,4436789.6,142706.89,8526.8,0.4366449,4.279327,0.011087944,98.6,2500.0,0.0,305.3094
9,5123905.6,169880.88,9839.8,0.4478948,3.965387,0.009849951,112.4,2500.0,0.0,301.6888
10,5486880.8,184694.45,10541.0,0.4318312,3.966984,0.009857997,136.7,2500.0,0.0,299.8124
11,6031032.0,206646.39,11574.6,0.4310678,3.99707,0.009903932,158.7,2500.0,0.0,296.3508
12,6474186.4,225409.24,12411.3,0.4237095,4.059241,0.009960043,172.3,2500.0,0.0,293.9878
13,6755946.4,233057.67,12944.7,0.4079256,4.243189,0.010491081,160.2,2500.0,0.0,294.6003
14,7263406.4,257739.6,13945.8,0.4080822,4.189286,0.010502622,181.8,2500.0,0.0,293.2342
15,7601177.77778,270610.333333,14591.3333333,0.398507111111,4.18941888889,0.0103625733333,185.555555556,2500.0,0.0,292.151333333
16,7769548.8,281149.9,14906.2,0.3816623,4.012595,0.009931136,207.4,2500.0,0.0,292.9252
17,8361279.2,307337.1,16033.1,0.3863678,4.040395,0.010091142,216.5,2500.0,0.0,289.7641
18,9005489.6,336127.1,17247.3,0.3925373,4.108335,0.01004,242.8,2500.0,0.0,288.2428
19,9039263.2,344239.9,17335.2,0.3737726,4.099863,0.009742021,243.1,2500.0,0.0,287.3652
20,9438435.2,363646.0,18088.2,0.3705081,3.990443,0.009676649,258.2,2500.0,0.0,287.4816
21,9687746.4,382891.4,18580.3,0.3624648,4.069612,0.009922683,256.0,2500.0,0.0,285.4925
22,10547079.2,420241.1,20222.6,0.3765705,4.083636,0.009978548,278.3,2500.0,0.0,282.8173
23,11078460.0,449312.1,21230.2,0.3781452,4.065306,0.009740881,277.9,2500.0,0.0,279.877
24,11139868.0,446761.7,21355.6,0.3645295,4.077434,0.009825329,268.8,2500.0,0.0,280.6766
