node_id,initial_energy,remaining_energy,lifetime
0,100,7.56202,300
1,100,0,273.144
2,100,8.02166,300
3,100,8.35581,300
4,100,9.42666,300
5,100,0,221.611
6,100,0,239.203
7,100,0,251.977
8,100,8.26423,300
9,100,8.97012,300
10,100,0,255.565
11,100,4.1819,300
12,100,0,280.769
13,100,8.51035,300
14,100,9.62337,300
15,100,0,296.125
16,100,7.23388,300
17,100,2.5709,300
18,100,9.06656,300
19,100,9.66328,300
20,100,0.0125279,300
21,100,9.46153,300
22,100,3.24701,300
23,100,9.10319,300
24,100,9.85588,300
