node_id,initial_energy,remaining_energy,lifetime
0,100,9.29992,300
1,100,0,293.083
2,100,0,293.752
3,100,0,294.258
4,100,0,296.053
5,100,9.06745,300
6,100,8.43946,300
7,100,8.37276,300
8,100,8.80479,300
9,100,8.67199,300
10,100,9.6251,300
11,100,8.43024,300
12,100,8.39036,300
13,100,9.03441,300
14,100,9.189,300
15,100,9.66227,300
16,100,9.06744,300
17,100,9.10342,300
18,100,9.11791,300
19,100,9.16145,300
20,100,9.86968,300
21,100,9.19312,300
22,100,9.62006,300
23,100,9.59804,300
24,100,9.83972,300
