node_id,initial_energy,remaining_energy
0,10000,11449.3
1,10000,11449.3
2,10000,11449.3
3,10000,11449.3
4,10000,11449.3
5,10000,11449.3
6,10000,11449.3
7,10000,11449.3
8,10000,11449.3
9,10000,11449.3
10,10000,11449.3
11,10000,11449.3
12,10000,11449.3
13,10000,11449.3
14,10000,11449.3
15,10000,11449.3
16,10000,11449.3
17,10000,11449.3
18,10000,11449.3
19,10000,11449.3
20,10000,11449.3
21,10000,11449.3
22,10000,11449.3
23,10000,11449.3
24,10000,11449.3
