node_id,initial_energy,remaining_energy,lifetime
0,100,7.19806,300
1,100,0,217.563
2,100,0,273.011
3,100,0,276.214
4,100,2.25842,300
5,100,0,219.364
6,100,0,262.222
7,100,5.63914,300
8,100,8.53974,300
9,100,8.60322,300
10,100,0,262.899
11,100,0.140972,300
12,100,5.59042,300
13,100,7.9497,300
14,100,9.12958,300
15,100,0,289.734
16,100,2.46008,300
17,100,8.45225,300
18,100,8.36679,300
19,100,8.88427,300
20,100,2.69682,300
21,100,6.48639,300
22,100,9.24748,300
23,100,8.79232,300
24,100,9.52183,300
