node_id,initial_energy,remaining_energy,lifetime
0,100,7.68834,300
1,100,0,238.524
2,100,9.67376,300
3,100,9.63506,300
4,100,9.85999,300
5,100,0,231.836
6,100,0,245.094
7,100,5.17285,300
8,100,9.18741,300
9,100,9.24839,300
10,100,0,237.992
11,100,0,292.445
12,100,8.58967,300
13,100,9.18735,300
14,100,9.54177,300
15,100,0,278.453
16,100,8.93515,300
17,100,9.1788,300
18,100,9.18271,300
19,100,9.21575,300
20,100,2.08099,300
21,100,9.06773,300
22,100,9.64805,300
23,100,9.67577,300
24,100,9.85396,300
