node_id,initial_energy,remaining_energy,lifetime
0,100,8.36468,300
1,100,0,261.177
2,100,8.85342,300
3,100,8.87401,300
4,100,9.07045,300
5,100,0,247.873
6,100,0,278.381
7,100,4.33933,300
8,100,8.45641,300
9,100,8.42543,300
10,100,0,289.088
11,100,7.14134,300
12,100,6.33161,300
13,100,8.7363,300
14,100,9.1835,300
15,100,9.7257,300
16,100,9.1714,300
17,100,8.75955,300
18,100,8.78753,300
19,100,8.84101,300
20,100,9.85921,300
21,100,9.20015,300
22,100,9.26356,300
23,100,9.68212,300
24,100,9.53987,300
