num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,881049.6,24977.87,1716.0,0.7029906,3.6,0.00889899,0.0,2500.0,0.0,324.4907
2,1740902.4,49229.08,3387.5,0.6938755,4.05,0.010039023,0.1,2500.0,0.0,316.8134
3,2576896.0,73471.11,5009.5,0.6840774,4.199999,0.010490593,0.2,2500.0,0.0,309.8467
4,3302216.0,97080.87,6414.9,0.6569951,4.35,0.01105573,1.2,2500.0,0.0,303.6196
5,4047772.0,121200.8,7858.7,0.6438916,4.25,0.01087339,0.8,2500.0,0.0,298.4699
6,4716732.8,143693.6,9159.3,0.625379,4.241666,0.010783826,0.8,2500.0,0.0,294.1614
7,5322208.0,169352.2,10333.0,0.6047287,4.235714,0.010682178,1.0,2500.0,0.0,290.6775
8,5843776.8,194034.6,11344.0,0.5809095,4.1,0.010291176,1.6,2500.0,0.0,289.2199
9,6484096.8,217460.6,12582.4,0.5727344,4.033333,0.010164021,0.2,2500.0,0.0,285.9836
10,7167308.44444,241545.0,13899.6666667,0.569425111111,4.16666666667,0.0104889333333,2.44444444444,2500.0,0.0,281.493333333
11,7579501.33333,260908.444444,14700.0,0.547465666667,4.19192,0.0105453555556,5.0,2500.0,0.0,278.387333333
12,8196352.8,285691.5,15885.7,0.5423222,4.233334,0.010730184,3.1,2500.0,0.0,276.2444
13,8856685.6,311427.8,17158.3,0.5407083,4.269232,0.010842763,5.0,2500.0,0.0,273.3347
14,9404828.8,335780.0,18223.7,0.5332621,4.164287,0.010567635,3.0,2500.0,0.0,271.9191
15,9940839.2,358471.9,19256.1,0.5259075,4.173333,0.010549152,3.9,2500.0,0.0,270.2303
16,10382985.6,381043.9,20117.6,0.5150964,4.1875,0.010513566,3.2,2500.0,0.0,269.272
17,10902668.4444,405314.333333,21124.7777778,0.509067555556,4.18300555556,0.0105445355556,1.11111111111,2500.0,0.0,266.774333333
18,11444296.0,423328.3,22183.1,0.5048728,4.222222,0.010595123,1.3,2500.0,0.0,264.6734
19,12147112.0,454017.9,23534.4,0.5074365,4.205262,0.010634184,1.1,2500.0,0.0,262.0914
20,12383496.8,477922.2,24011.5,0.4918373,4.165,0.010435144,1.6,2500.0,0.0,261.1698
21,12914665.6,505157.4,25032.1,0.4883263,4.157143,0.010438989,2.6,2500.0,0.0,260.3019
22,13301070.4,527852.1,25792.0,0.4802802,4.156817,0.010432717,0.8,2500.0,0.0,257.7283
23,13858354.4,553924.2,26866.6,0.4785388,4.165214,0.01047835,3.0,2500.0,0.0,255.4159
24,14442984.8,580673.1,28003.2,0.4780009,4.170836,0.010498,4.3,2500.0,0.0,253.167
