node_id,initial_energy,remaining_energy,lifetime
0,100,9.09578,300
1,100,0,277.701
2,100,0,284.149
3,100,9.0739,300
4,100,9.53386,300
5,100,0,281.499
6,100,7.04738,300
7,100,7.96682,300
8,100,8.65392,300
9,100,9.43059,300
10,100,0,283.899
11,100,8.19905,300
12,100,8.37256,300
13,100,8.77553,300
14,100,9.23812,300
15,100,9.51825,300
16,100,8.92416,300
17,100,9.10728,300
18,100,9.16672,300
19,100,8.97136,300
20,100,9.87411,300
21,100,8.97536,300
22,100,9.55805,300
23,100,9.66891,300
24,100,9.84793,300
