node_id,initial_energy,remaining_energy,lifetime
0,100,9.07062,300
1,100,0,277.856
2,100,9.26844,300
3,100,9.29593,300
4,100,7.95967,300
5,100,0,280.483
6,100,7.12777,300
7,100,7.60767,300
8,100,8.73698,300
9,100,7.2392,300
10,100,9.14684,300
11,100,8.46261,300
12,100,7.94452,300
13,100,8.49042,300
14,100,8.96779,300
15,100,9.74685,300
16,100,8.93124,300
17,100,8.89288,300
18,100,8.54496,300
19,100,8.61919,300
20,100,9.85243,300
21,100,8.95487,300
22,100,8.96568,300
23,100,9.44225,300
24,100,9.34656,300
