node_id,lifetime
0,322.2544
1,212.4042
2,256.5405
3,291.4391
4,316.9342
5,215.8147
6,220.8764
7,244.5675
8,273.9098
9,317.2462
10,249.2978
11,272.6106
12,285.9762
13,293.5098
14,315.1776
15,285.3737
16,300.7104
17,302.7943
18,312.7342
19,321.1431
20,309.7163
21,317.0144
22,316.6728
23,323.2236
24,328.1298
