node_id,initial_energy,remaining_energy,lifetime
0,100,9.19405,300
1,100,9.66747,300
2,100,9.61447,300
3,100,9.17963,300
4,100,9.85262,300
5,100,0,280.863
6,100,9.17279,300
7,100,9.15421,300
8,100,9.14903,300
9,100,9.68217,300
10,100,0,283.898
11,100,9.16588,300
12,100,9.16822,300
13,100,9.15685,300
14,100,9.6525,300
15,100,9.68218,300
16,100,9.16137,300
17,100,9.17066,300
18,100,9.17115,300
19,100,9.19292,300
20,100,9.85284,300
21,100,9.19291,300
22,100,9.62472,300
23,100,9.68105,300
24,100,9.8658,300
