node_id,initial_energy,remaining_energy,lifetime
0,100,8.33984,300
1,100,0,261.996
2,100,8.58077,300
3,100,8.88206,300
4,100,9.0857,300
5,100,0,246.539
6,100,0,275.978
7,100,3.82993,300
8,100,8.44489,300
9,100,8.42611,300
10,100,0,288.636
11,100,6.96399,300
12,100,6.22837,300
13,100,8.76252,300
14,100,9.18062,300
15,100,9.71544,300
16,100,9.1658,300
17,100,8.43404,300
18,100,8.78362,300
19,100,8.86503,300
20,100,9.85655,300
21,100,9.20118,300
22,100,9.26356,300
23,100,9.68212,300
24,100,9.53987,300
