node_id,initial_energy,remaining_energy,lifetime
0,100,7.41755,300
1,100,0,219.305
2,100,0,270.198
3,100,0,298.756
4,100,9.56895,300
5,100,0,223.494
6,100,0,255.903
7,100,4.92315,300
8,100,5.92208,300
9,100,9.11152,300
10,100,0,230.776
11,100,1.10995,300
12,100,8.78613,300
13,100,9.02341,300
14,100,9.43874,300
15,100,0,268.911
16,100,8.55987,300
17,100,9.19616,300
18,100,9.01637,300
19,100,9.21951,300
20,100,0.363311,300
21,100,8.91178,300
22,100,9.64898,300
23,100,9.59881,300
24,100,9.85396,300
