num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,414515.2,20489.367,797.8,0.326833301,3.75,0.010971978,8.1,2500.0,0.0,329.1381
2,1133272.0,35818.566,2181.8,0.446907001,4.166667,0.012001238,32.4,2500.0,0.0,323.1117
3,1745127.2,49844.5,3362.3,0.4591424,4.066666,0.011801841,49.2,2500.0,0.0,319.7629
4,2294106.4,65876.09,4413.0,0.4519665,4.344047,0.011718427,57.1,2500.0,0.0,315.8904
5,2722548.8,80103.04,5227.7,0.4283243,4.478889,0.012559699,72.0,2500.0,0.0,313.6406
6,3555930.4,108548.28,6814.8,0.465301,4.314998,0.0116933,89.3,2500.0,0.0,308.6595
7,4172224.0,130246.12,7987.0,0.4674314,4.282858,0.011563603,126.6,2500.0,0.0,304.9997
8,4548608.0,147914.12,8729.1,0.4470042,4.152885,0.010726593,109.2,2500.0,0.0,304.2402
9,4873220.8,161219.78,9347.6,0.4254906,3.880556,0.009705744,121.6,2500.0,0.0,302.7102
10,5513217.6,185335.46,10573.6,0.4331668,3.955,0.009287972,133.8,2500.0,0.0,300.286
11,5948333.6,202012.42,11421.2,0.4253548,4.02606,0.009533314,149.1,2500.0,0.0,297.6394
12,6343027.2,218268.68,12165.1,0.4153046,4.150492,0.009904586,145.2,2500.0,0.0,296.2442
13,6791396.0,236309.8,12994.9,0.4095072,4.28132,0.010546866,160.3,2500.0,0.0,293.8096
14,7204250.4,253784.2,13812.1,0.4041699,4.210431,0.010515015,175.0,2500.0,0.0,294.4141
15,7612631.2,270955.5,14576.7,0.3981073,4.391215,0.011435013,173.4,2500.0,0.0,292.9463
16,7938340.0,289328.1,15202.6,0.3892514,4.202566,0.010403528,226.5,2500.0,0.0,291.2268
17,8545063.2,317851.0,16351.3,0.3940357,4.224393,0.010505119,205.4,2500.0,0.0,288.5272
18,8724476.8,323369.5,16694.6,0.379958,4.228781,0.01051521,203.3,2500.0,0.0,288.2429
19,8956207.2,338695.8,17126.9,0.3692814,4.175411,0.0104548,224.2,2500.0,0.0,288.0695
20,9562128.8,371276.9,18326.8,0.3753952,4.149,0.010592255,234.0,2500.0,0.0,285.1477
21,10017800.0,396215.2,19197.2,0.3744992,4.134249,0.010498013,248.4,2500.0,0.0,284.3111
22,9978272.8,394478.7,19119.9,0.3560369,4.53135,0.010721126,242.7,2500.0,0.0,285.5461
23,10411428.0,412989.9,19930.0,0.3549864,4.120198,0.010094103,255.0,2500.0,0.0,283.6722
24,11164821.6,448120.1,21380.8,0.3649597,4.214711,0.010785998,342.9,2500.0,0.0,280.421
