num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,414515.2,11053.736,797.8,0.43571822,3.75,0.010971978,8.1,2500.0,222.415,299.6646
2,1112076.44444,29655.3533333,2144.22222222,0.58553315,4.18518555556,0.01208262,31.5555555556,2500.0,185.826444444,298.534333333
3,1745127.2,46536.72,3362.3,0.6121062,4.066666,0.011801841,49.2,2500.0,169.3389,297.3031
4,2293543.2,61161.16,4411.9,0.6023894,4.344047,0.011718107,57.1,2500.0,151.62672,295.7841
5,2722548.8,72601.31,5227.7,0.5710213,4.478889,0.012559699,72.0,2500.0,148.73968,293.8931
6,3555930.4,94824.84,6814.8,0.6203168,4.314998,0.0116933,89.3,2500.0,125.17764,292.0385
7,4106339.55556,109502.466667,7865.55555556,0.613681444444,4.23492111111,0.0115046144444,130.0,2500.0,115.411255556,289.832666667
8,4548608.0,121296.19,8729.1,0.5959244,4.152885,0.010726593,109.2,2500.0,113.2602,289.1903
9,4873220.8,129952.68,9347.6,0.5672433,3.880556,0.009705744,121.6,2500.0,110.27661,288.0627
10,5513217.6,147019.19,10573.6,0.5774768,3.955,0.009287972,133.8,2500.0,104.40399,286.4175
11,5948333.6,158622.32,11421.2,0.5670622,4.02606,0.009533314,149.1,2500.0,97.38722,284.7024
12,6277150.22222,167390.722222,12030.8888889,0.547555444444,4.09313888889,0.00957101777778,146.222222222,2500.0,96.4627666667,283.980444444
13,6791396.0,181103.84,12994.9,0.5459355,4.28132,0.010546866,160.3,2500.0,90.68932,281.7576
14,7204250.4,192113.2,13812.1,0.5388196,4.210431,0.010515015,175.0,2500.0,92.21865,282.1596
15,7971543.11111,212574.444444,15265.0,0.555798222222,4.45584777778,0.0120901355556,179.222222222,2500.0,83.7152555556,279.920222222
16,7938340.0,211689.1,15202.6,0.518931,4.202566,0.010403528,226.5,2500.0,87.70746,279.5724
17,8545063.2,227868.3,16351.3,0.5253091,4.224393,0.010505119,205.4,2500.0,79.28016,277.9935
18,8724476.8,232652.7,16694.6,0.5065417,4.228781,0.01051521,203.3,2500.0,81.38894,277.434
19,8956207.2,238832.2,17126.9,0.492308,4.175411,0.0104548,224.2,2500.0,79.5678,277.4982
20,9562128.8,254990.1,18326.8,0.5004587,4.149,0.010592255,234.0,2500.0,72.89025,275.4628
21,10017800.0,267141.3,19197.2,0.4992638,4.134249,0.010498013,248.4,2500.0,70.1021,274.997
22,9978272.8,266087.2,19119.9,0.4746512,4.53135,0.010721126,242.7,2500.0,74.77526,275.6038
23,10411428.0,277638.1,19930.0,0.4732505,4.120198,0.010094103,255.0,2500.0,69.99285,274.3716
24,11164821.6,297728.6,21380.8,0.4865465,4.214711,0.010785998,342.9,2500.0,63.77625,271.9473
