node_id,initial_energy,remaining_energy,lifetime
0,100,8.40812,300
1,100,0,267.777
2,100,9.37111,300
3,100,9.66399,300
4,100,9.83811,300
5,100,0,250.71
6,100,0,277.773
7,100,3.94083,300
8,100,9.14754,300
9,100,9.14939,300
10,100,0,287.988
11,100,3.21597,300
12,100,8.47317,300
13,100,9.15316,300
14,100,9.5203,300
15,100,9.71172,300
16,100,9.16095,300
17,100,9.15944,300
18,100,9.16714,300
19,100,9.1763,300
20,100,9.8457,300
21,100,9.20276,300
22,100,9.6578,300
23,100,9.67998,300
24,100,9.85336,300
