node_id,initial_energy,remaining_energy,lifetime
0,100,8.54369,300
1,100,0,294.356
2,100,9.62371,300
3,100,9.20649,300
4,100,9.85262,300
5,100,0,271.775
6,100,0,281.609
7,100,3.02859,300
8,100,9.17638,300
9,100,9.69807,300
10,100,0,284.629
11,100,0.374517,300
12,100,2.87401,300
13,100,9.01349,300
14,100,9.6323,300
15,100,9.68299,300
16,100,0,297.544
17,100,3.15905,300
18,100,9.1802,300
19,100,9.17805,300
20,100,9.86951,300
21,100,0,284.768
22,100,5.05654,300
23,100,9.68565,300
24,100,9.86028,300
