num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,880076.8,23468.72,1713.5,0.9358276,3.6,0.008909344,0.0,2500.0,197.204,298.1988
2,1715100.0,45736.01,3334.9,0.9106771,4.05,0.010147108,0.1,2500.0,161.6626,295.8419
3,2392883.2,63810.22,4652.6,0.8470052,4.199999,0.010440979,1.1,2500.0,136.96603,293.3193
4,3008365.6,80223.08,5844.5,0.797993,4.35,0.010930727,4.7,2500.0,115.402,291.0536
5,3546966.4,94585.68,6894.9,0.7531296,4.22,0.01052108,4.6,2500.0,106.57899,288.6998
6,4064298.66667,108381.244444,7895.44444444,0.718682333333,4.18518444444,0.01043307,3.33333333333,2500.0,100.487733333,287.211111111
7,4652039.2,124054.5,9029.9,0.7045252,4.214285,0.010488371,4.5,2500.0,90.49117,284.3212
8,5111560.8,136308.16,9928.5,0.6778058,4.0875,0.010145897,10.8,2500.0,89.87816,283.0287
9,5678757.6,151433.43,11026.7,0.6691366,4.022222,0.010007737,8.9,2500.0,85.07033,280.9681
10,6190691.2,165085.3,12010.6,0.6559582,4.04,0.01005458,17.6,2500.0,81.66016,279.2606
11,6591851.2,175782.7,12790.7,0.6350576,4.154546,0.010356503,26.1,2500.0,74.09986,276.2693
12,7079098.4,188776.0,13724.5,0.6246359,4.2,0.010481153,29.4,2500.0,70.69626,274.2825
13,7546112.8,201229.6,14618.3,0.614137,4.238461,0.010608537,29.2,2500.0,64.04468,273.0239
14,8032625.6,214203.3,15564.4,0.6071779,4.150001,0.010394035,34.9,2500.0,63.02784,272.3001
15,8471096.0,225896.0,16416.9,0.5977389,4.125058,0.010272205,39.1,2500.0,60.98305,269.7866
16,9000834.4,240022.4,17433.2,0.5950709,4.154032,0.010372848,36.7,2500.0,57.65227,268.8997
17,9425773.6,251353.9,18252.9,0.5864009,4.151336,0.010329679,54.6,2500.0,54.32499,267.1565
18,9790540.8,261081.0,18955.6,0.5751441,4.16508,0.01037151,73.3,2500.0,53.41042,265.9615
19,10192064.8,271788.3,19729.9,0.5671306,4.163726,0.01040279,72.5,2500.0,47.45085,264.9293
20,10571677.6,281911.5,20457.5,0.5586427,4.117895,0.010220464,86.9,2500.0,44.50849,264.7436
21,10953410.4,292090.9,21206.8,0.5515279,4.100001,0.01008869,89.3,2500.0,42.96702,263.7909
22,11362901.6,303010.7,21998.1,0.5461025,4.106036,0.010038986,103.9,2500.0,39.96234,262.3111
23,11710568.0,312282.0,22686.3,0.5387006,4.130288,0.010131135,122.4,2500.0,38.43452,260.5535
24,12310919.2,328291.3,23830.2,0.5422857,4.140479,0.010183013,134.8,2500.0,36.52538,259.3082
