node_id,initial_energy,remaining_energy,lifetime
0,100,9.23535,300
1,100,0,286.905
2,100,0,287.985
3,100,0,288.163
4,100,0,290.423
5,100,9.05161,300
6,100,8.43933,300
7,100,8.18927,300
8,100,8.40936,300
9,100,8.09023,300
10,100,9.63064,300
11,100,8.8871,300
12,100,8.65279,300
13,100,9.12071,300
14,100,8.6301,300
15,100,9.66586,300
16,100,9.03241,300
17,100,9.06396,300
18,100,9.16868,300
19,100,8.95235,300
20,100,9.87418,300
21,100,9.17906,300
22,100,9.6269,300
23,100,9.66332,300
24,100,9.66645,300
