node_id,lifetime
0,300.0
1,199.6872
2,232.8181
3,266.4773
4,296.5909
5,195.5633
6,207.4375
7,225.0817
8,263.7133
9,297.1062
10,215.4641
11,219.4181
12,238.4097
13,258.9256
14,290.958
15,261.4773
16,245.6248
17,244.6881
18,265.6991
19,290.3057
20,291.836
21,297.6171
22,276.6432
23,289.6076
24,299.9261
