node_id,initial_energy,remaining_energy,lifetime
0,100,7.42567,300
1,100,0,237.458
2,100,0,266.886
3,100,0,269.594
4,100,0.558122,300
5,100,0,261.095
6,100,0,266.428
7,100,7.13284,300
8,100,8.87297,300
9,100,8.98867,300
10,100,3.46791,300
11,100,0,284.224
12,100,4.53469,300
13,100,9.14443,300
14,100,9.53055,300
15,100,3.30487,300
16,100,2.96016,300
17,100,8.87737,300
18,100,9.16077,300
19,100,9.2001,300
20,100,0.851417,300
21,100,6.00753,300
22,100,9.61168,300
23,100,9.67171,300
24,100,9.85551,300
