node_id,initial_energy,remaining_energy,lifetime
0,100,7.35505,300
1,100,0,238.062
2,100,0,273.916
3,100,0,276.583
4,100,2.98383,300
5,100,0,253.9
6,100,0,263.396
7,100,7.28466,300
8,100,8.63946,300
9,100,8.95187,300
10,100,2.86717,300
11,100,0.0866723,300
12,100,6.29428,300
13,100,8.78138,300
14,100,9.44309,300
15,100,2.93788,300
16,100,5.13593,300
17,100,8.68041,300
18,100,8.84207,300
19,100,9.13479,300
20,100,0.40194,300
21,100,5.85394,300
22,100,9.15626,300
23,100,9.39556,300
24,100,9.80311,300
