node_id,initial_energy,remaining_energy,lifetime
0,100,8.68056,300
1,100,0,265.329
2,100,0,285.746
3,100,9.17931,300
4,100,9.84971,300
5,100,0,264.568
6,100,0,288.624
7,100,3.49519,300
8,100,9.06314,300
9,100,9.70631,300
10,100,0,286.597
11,100,2.69261,300
12,100,3.61456,300
13,100,8.76668,300
14,100,9.66156,300
15,100,9.56233,300
16,100,1.54254,300
17,100,4.25414,300
18,100,9.17513,300
19,100,9.19498,300
20,100,9.87014,300
21,100,0,295.564
22,100,6.12449,300
23,100,9.67122,300
24,100,9.86088,300
