node_id,initial_energy,remaining_energy,lifetime
0,100,8.60995,300
1,100,0,296.741
2,100,7.07885,300
3,100,9.72054,300
4,100,9.86108,300
5,100,0,277.942
6,100,0,278.979
7,100,6.43277,300
8,100,9.12767,300
9,100,9.19615,300
10,100,0,284.655
11,100,0,281.484
12,100,9.08496,300
13,100,9.1155,300
14,100,9.47931,300
15,100,9.67731,300
16,100,9.14932,300
17,100,9.14606,300
18,100,9.15953,300
19,100,9.18584,300
20,100,9.86283,300
21,100,9.19534,300
22,100,9.64332,300
23,100,9.67983,300
24,100,9.8592,300
