node_id,initial_energy,remaining_energy,lifetime
0,100,8.96119,300
1,100,0,299.551
2,100,4.85169,300
3,100,3.75432,300
4,100,9.13186,300
5,100,0.545266,300
6,100,0,291.659
7,100,0,280.05
8,100,8.02729,300
9,100,8.79233,300
10,100,7.31498,300
11,100,5.5234,300
12,100,0,281.836
13,100,9.05891,300
14,100,9.62895,300
15,100,9.18589,300
16,100,5.89547,300
17,100,0,289.768
18,100,9.04967,300
19,100,9.67709,300
20,100,9.85775,300
21,100,9.54357,300
22,100,0,292.319
23,100,9.11679,300
24,100,9.85745,300
