node_id,initial_energy,remaining_energy,lifetime
0,100,9.18639,300
1,100,2.58672,300
2,100,9.21668,300
3,100,9.16919,300
4,100,9.85334,300
5,100,2.17249,300
6,100,0,293.889
7,100,0,298.659
8,100,7.29109,300
9,100,9.67817,300
10,100,6.34533,300
11,100,1.06521,300
12,100,0,286.795
13,100,7.30565,300
14,100,9.6393,300
15,100,9.18331,300
16,100,5.86476,300
17,100,8.89823,300
18,100,8.7392,300
19,100,9.18931,300
20,100,9.85561,300
21,100,9.72868,300
22,100,9.65944,300
23,100,9.20684,300
24,100,9.77375,300
