node_id,initial_energy,remaining_energy,lifetime
0,100,7.58629,300
1,100,0,237.721
2,100,9.42882,300
3,100,9.38199,300
4,100,9.60576,300
5,100,0,229.525
6,100,0,243.784
7,100,4.13936,300
8,100,9.09596,300
9,100,8.98745,300
10,100,0,229.375
11,100,0,290.1
12,100,8.01904,300
13,100,9.08851,300
14,100,9.35563,300
15,100,0,267.402
16,100,8.38093,300
17,100,9.06159,300
18,100,9.10066,300
19,100,9.05687,300
20,100,0.112129,300
21,100,9.03744,300
22,100,9.55866,300
23,100,9.69258,300
24,100,9.78946,300
