node_id,initial_energy,remaining_energy,lifetime
0,100,7.5401,300
1,100,0,230.341
2,100,0,273.78
3,100,0,276.016
4,100,2.29909,300
5,100,0,232.718
6,100,0,279.712
7,100,8.08173,300
8,100,8.75597,300
9,100,8.85091,300
10,100,3.13462,300
11,100,1.80732,300
12,100,6.26792,300
13,100,9.00931,300
14,100,9.32829,300
15,100,3.38262,300
16,100,5.15231,300
17,100,8.90402,300
18,100,9.0747,300
19,100,9.13382,300
20,100,1.22805,300
21,100,6.25423,300
22,100,9.56915,300
23,100,9.62328,300
24,100,9.8077,300
