node_id,initial_energy,remaining_energy,lifetime
0,100,8.54146,300
1,100,8.29028,300
2,100,9.71289,300
3,100,9.73527,300
4,100,9.87187,300
5,100,0,259.685
6,100,0,280.92
7,100,9.25726,300
8,100,9.23677,300
9,100,9.27125,300
10,100,0,284.839
11,100,0,282.459
12,100,9.24545,300
13,100,9.2402,300
14,100,9.57679,300
15,100,9.70304,300
16,100,9.24507,300
17,100,9.24322,300
18,100,9.23824,300
19,100,9.25743,300
20,100,9.86794,300
21,100,9.26243,300
22,100,9.65461,300
23,100,9.70433,300
24,100,9.86832,300
