node_id,initial_energy,remaining_energy,lifetime
0,100,8.50139,300
1,100,0,283.072
2,100,9.75503,300
3,100,9.75088,300
4,100,9.85761,300
5,100,0,282.596
6,100,0,282.696
7,100,0,282.796
8,100,0,284.497
9,100,9.26219,300
10,100,9.66486,300
11,100,9.25391,300
12,100,9.25409,300
13,100,9.23179,300
14,100,9.64006,300
15,100,9.70669,300
16,100,9.24798,300
17,100,9.23434,300
18,100,9.22188,300
19,100,9.68412,300
20,100,9.85495,300
21,100,9.25531,300
22,100,9.58953,300
23,100,9.25403,300
24,100,9.86791,300
