node_id,initial_energy,remaining_energy,lifetime
0,100,8.52157,300
1,100,0,286.719
2,100,0,286.719
3,100,0,286.697
4,100,9.85417,300
5,100,0,279.925
6,100,8.60434,300
7,100,9.23956,300
8,100,0,285.159
9,100,9.26358,300
10,100,9.59871,300
11,100,8.59094,300
12,100,8.60058,300
13,100,0,283.053
14,100,9.65514,300
15,100,9.25691,300
16,100,9.25066,300
17,100,9.25029,300
18,100,0,285.242
19,100,9.70497,300
20,100,9.87833,300
21,100,9.69622,300
22,100,9.61522,300
23,100,9.28832,300
24,100,9.85245,300
