node_id,initial_energy,remaining_energy,lifetime
0,100,8.01764,300
1,100,0,263.756
2,100,1.98667,300
3,100,0.708415,300
4,100,9.85285,300
5,100,0,246.954
6,100,0,265.845
7,100,0.297369,300
8,100,0,285.175
9,100,9.23159,300
10,100,0.740385,300
11,100,0,276.216
12,100,4.45216,300
13,100,0,288.518
14,100,9.64337,300
15,100,0.651331,300
16,100,0,278.615
17,100,7.90248,300
18,100,0,289.852
19,100,9.69432,300
20,100,0,291.628
21,100,5.23609,300
22,100,8.58975,300
23,100,9.19589,300
24,100,9.86438,300
