node_id,initial_energy,remaining_energy,lifetime
0,100,7.42344,300
1,100,0,220.368
2,100,6.40057,300
3,100,6.37127,300
4,100,6.56253,300
5,100,0,225.641
6,100,0,254.342
7,100,3.7631,300
8,100,5.65027,300
9,100,5.86882,300
10,100,0,221.516
11,100,0.938107,300
12,100,6.7541,300
13,100,6.81107,300
14,100,7.29183,300
15,100,0,260.091
16,100,8.01129,300
17,100,6.84139,300
18,100,6.85373,300
19,100,7.03247,300
20,100,0,297.381
21,100,9.1977,300
22,100,8.48715,300
23,100,8.52557,300
24,100,8.87642,300
