node_id,initial_energy,remaining_energy,lifetime
0,100,9.19837,300
1,100,9.74941,300
2,100,9.75162,300
3,100,9.73479,300
4,100,9.86295,300
5,100,0,282.766
6,100,0,282.549
7,100,9.24062,300
8,100,9.23044,300
9,100,9.25108,300
10,100,9.66718,300
11,100,0,284.46
12,100,9.23594,300
13,100,9.23289,300
14,100,9.56985,300
15,100,9.71664,300
16,100,9.25616,300
17,100,9.24674,300
18,100,9.23338,300
19,100,9.25254,300
20,100,9.87195,300
21,100,9.26302,300
22,100,9.67114,300
23,100,9.70409,300
24,100,9.86832,300
