node_id,initial_energy,remaining_energy,lifetime
0,100,9.20596,300
1,100,0,284.21
2,100,0,284.195
3,100,9.76381,300
4,100,9.87276,300
5,100,9.24776,300
6,100,9.23879,300
7,100,0,282.665
8,100,0,284.523
9,100,9.26768,300
10,100,9.66054,300
11,100,9.23199,300
12,100,9.24222,300
13,100,9.22627,300
14,100,9.56787,300
15,100,9.68788,300
16,100,9.23375,300
17,100,9.23006,300
18,100,9.22077,300
19,100,9.23899,300
20,100,9.86439,300
21,100,9.26252,300
22,100,9.63559,300
23,100,9.68094,300
24,100,9.86249,300
