node_id,initial_energy,remaining_energy,lifetime
0,100,9.21111,300
1,100,0,282.853
2,100,9.54046,300
3,100,9.24373,300
4,100,9.86202,300
5,100,9.69747,300
6,100,0,282.838
7,100,0,282.76
8,100,8.58483,300
9,100,9.69134,300
10,100,9.65577,300
11,100,9.22927,300
12,100,0,284.412
13,100,0,284.549
14,100,9.63595,300
15,100,9.24646,300
16,100,9.2253,300
17,100,9.23728,300
18,100,9.25639,300
19,100,9.2582,300
20,100,9.85441,300
21,100,9.7427,300
22,100,9.74735,300
23,100,9.74564,300
24,100,9.88087,300
