node_id,initial_energy,remaining_energy,lifetime
0,100,9.15702,300
1,100,0,283.072
2,100,9.7602,300
3,100,9.75883,300
4,100,9.85666,300
5,100,9.23688,300
6,100,9.23803,300
7,100,9.24024,300
8,100,9.23583,300
9,100,9.23568,300
10,100,9.65395,300
11,100,9.23904,300
12,100,9.24708,300
13,100,9.22796,300
14,100,9.6358,300
15,100,9.69786,300
16,100,9.23219,300
17,100,9.23121,300
18,100,9.21684,300
19,100,9.67976,300
20,100,9.86948,300
21,100,9.25139,300
22,100,9.58797,300
23,100,9.25183,300
24,100,9.8575,300
