node_id,initial_energy,remaining_energy,lifetime
0,100,9.20645,300
1,100,9.68333,300
2,100,9.63391,300
3,100,9.26534,300
4,100,9.85712,300
5,100,0,282.787
6,100,9.22677,300
7,100,9.25506,300
8,100,9.24369,300
9,100,9.71342,300
10,100,0,283.787
11,100,0,282.787
12,100,0,284.557
13,100,9.24647,300
14,100,9.66261,300
15,100,9.2607,300
16,100,9.22982,300
17,100,9.22416,300
18,100,9.23037,300
19,100,9.26701,300
20,100,9.86474,300
21,100,9.74563,300
22,100,9.74355,300
23,100,9.74288,300
24,100,9.85966,300
