node_id,initial_energy,remaining_energy,lifetime
0,100,9.19487,300
1,100,9.24566,300
2,100,9.65699,300
3,100,9.69186,300
4,100,9.88088,300
5,100,0,284.24
6,100,9.22878,300
7,100,9.23441,300
8,100,9.25275,300
9,100,9.26412,300
10,100,0,284.215
11,100,0,282.636
12,100,0,284.506
13,100,9.25524,300
14,100,9.55021,300
15,100,9.74542,300
16,100,8.60737,300
17,100,0,284.585
18,100,9.23519,300
19,100,9.25476,300
20,100,9.86215,300
21,100,8.63459,300
22,100,0,285.854
23,100,9.70068,300
24,100,9.85831,300
