node_id,initial_energy,remaining_energy,lifetime
0,100,9.17858,300
1,100,9.74141,300
2,100,9.72868,300
3,100,9.74427,300
4,100,9.86298,300
5,100,0,281.822
6,100,9.23904,300
7,100,9.22614,300
8,100,9.22953,300
9,100,9.24531,300
10,100,9.5995,300
11,100,9.23227,300
12,100,9.23152,300
13,100,9.24265,300
14,100,9.66072,300
15,100,9.24903,300
16,100,9.2395,300
17,100,9.23444,300
18,100,9.2238,300
19,100,9.72119,300
20,100,9.86842,300
21,100,9.69247,300
22,100,9.61708,300
23,100,9.24105,300
24,100,9.85481,300
