node_id,initial_energy,remaining_energy,lifetime
0,100,9.12878,300
1,100,1.17252,300
2,100,3.2883,300
3,100,8.52106,300
4,100,8.54854,300
5,100,0.360669,300
6,100,0,290.788
7,100,0,284.341
8,100,8.06745,300
9,100,8.90943,300
10,100,4.50054,300
11,100,0,296.652
12,100,0,289.599
13,100,9.01122,300
14,100,9.59148,300
15,100,9.6544,300
16,100,0,298.225
17,100,8.8134,300
18,100,9.05585,300
19,100,9.14277,300
20,100,9.85189,300
21,100,9.1753,300
22,100,9.34764,300
23,100,9.26896,300
24,100,9.46295,300
