node_id,initial_energy,remaining_energy,lifetime
0,100,7.96012,300
1,100,0,251.318
2,100,9.41923,300
3,100,9.41083,300
4,100,9.61587,300
5,100,0,229.28
6,100,0,263.227
7,100,4.30608,300
8,100,9.07195,300
9,100,8.97586,300
10,100,0,255.448
11,100,0.871797,300
12,100,8.72063,300
13,100,9.07242,300
14,100,9.35187,300
15,100,0,294.273
16,100,8.95713,300
17,100,9.05272,300
18,100,9.0871,300
19,100,9.04516,300
20,100,0,295.878
21,100,8.98981,300
22,100,9.56652,300
23,100,9.6802,300
24,100,9.79689,300
