node_id,initial_energy,remaining_energy,lifetime
0,100,8.82006,300
1,100,0,285.802
2,100,0,292.337
3,100,0,293.916
4,100,0,295.901
5,100,0,295.075
6,100,2.40311,300
7,100,7.42057,300
8,100,8.34911,300
9,100,8.94953,300
10,100,2.51788,300
11,100,2.80199,300
12,100,7.81531,300
13,100,8.46551,300
14,100,9.50201,300
15,100,1.93675,300
16,100,4.24421,300
17,100,8.79991,300
18,100,8.69598,300
19,100,9.18803,300
20,100,0,296.057
21,100,5.26709,300
22,100,9.6238,300
23,100,9.67405,300
24,100,9.85551,300
