node_id,initial_energy,remaining_energy,lifetime
0,100,9.83198,300
1,100,8.90348,300
2,100,9.43248,300
3,100,9.18103,300
4,100,9.86774,300
5,100,9.28105,300
6,100,8.53376,300
7,100,8.53361,300
8,100,8.44436,300
9,100,9.66609,300
10,100,9.64954,300
11,100,9.16415,300
12,100,9.13082,300
13,100,8.48213,300
14,100,9.62339,300
15,100,9.18741,300
16,100,9.13901,300
17,100,9.16779,300
18,100,9.16388,300
19,100,9.18593,300
20,100,9.84529,300
21,100,9.71982,300
22,100,9.74304,300
23,100,9.73549,300
24,100,9.86417,300
