node_id,initial_energy,remaining_energy,lifetime
0,100,9.18708,300
1,100,3.55054,300
2,100,8.74586,300
3,100,9.18793,300
4,100,9.86325,300
5,100,0.997097,300
6,100,1.08397,300
7,100,8.18699,300
8,100,8.9406,300
9,100,9.67743,300
10,100,3.68263,300
11,100,0,285.629
12,100,8.9781,300
13,100,9.10529,300
14,100,9.63353,300
15,100,9.63142,300
16,100,0,287.047
17,100,8.97856,300
18,100,9.11715,300
19,100,9.18059,300
20,100,9.83609,300
21,100,9.17761,300
22,100,9.62799,300
23,100,9.66306,300
24,100,9.85924,300
