node_id,initial_energy,remaining_energy,lifetime
0,100,9.23371,300
1,100,2.55219,300
2,100,8.45039,300
3,100,9.73748,300
4,100,9.8505,300
5,100,2.57676,300
6,100,0,284.991
7,100,7.79005,300
8,100,9.14703,300
9,100,9.17616,300
10,100,9.61374,300
11,100,0,286.993
12,100,9.06457,300
13,100,9.1594,300
14,100,9.49613,300
15,100,9.67584,300
16,100,9.15795,300
17,100,9.1488,300
18,100,9.15891,300
19,100,9.17582,300
20,100,9.86283,300
21,100,9.17304,300
22,100,9.61881,300
23,100,9.66373,300
24,100,9.8592,300
