node_id,initial_energy,remaining_energy,lifetime
0,100,9.31293,300
1,100,2.38229,300
2,100,8.9433,300
3,100,9.17572,300
4,100,9.85101,300
5,100,4.52844,300
6,100,0,292.704
7,100,0,291.746
8,100,0,292.298
9,100,9.65859,300
10,100,9.638,300
11,100,9.14431,300
12,100,8.81261,300
13,100,0,293.042
14,100,9.60112,300
15,100,9.18044,300
16,100,9.15424,300
17,100,9.09038,300
18,100,9.10812,300
19,100,9.18899,300
20,100,9.85613,300
21,100,9.73407,300
22,100,9.74304,300
23,100,9.73549,300
24,100,9.86417,300
