node_id,initial_energy,remaining_energy,lifetime
0,100,9.21318,300
1,100,4.00748,300
2,100,9.36385,300
3,100,9.17568,300
4,100,9.85543,300
5,100,0.592059,300
6,100,1.11281,300
7,100,8.90532,300
8,100,9.16263,300
9,100,9.6891,300
10,100,3.65428,300
11,100,0,284.145
12,100,8.89206,300
13,100,9.15535,300
14,100,9.64592,300
15,100,9.62532,300
16,100,0,285.301
17,100,8.8943,300
18,100,9.15339,300
19,100,9.17226,300
20,100,9.83552,300
21,100,9.18596,300
22,100,9.63766,300
23,100,9.66032,300
24,100,9.87158,300
