node_id,lifetime
0,320.2937
1,191.8771
2,232.2225
3,266.2616
4,304.4643
5,191.0746
6,199.0987
7,226.3057
8,262.965
9,302.2912
10,212.6171
11,219.9549
12,240.8922
13,261.5332
14,305.7588
15,261.0819
16,245.8017
17,246.3339
18,265.4479
19,296.5407
20,292.0272
21,305.2768
22,279.4274
23,292.5846
24,307.1148
