node_id,initial_energy,remaining_energy,lifetime
0,100,9.20436,300
1,100,3.38187,300
2,100,9.7372,300
3,100,9.70967,300
4,100,9.84693,300
5,100,1.41521,300
6,100,0,290.986
7,100,0,282.499
8,100,9.18518,300
9,100,9.18423,300
10,100,6.13011,300
11,100,4.72869,300
12,100,0,285.038
13,100,9.04891,300
14,100,9.64749,300
15,100,9.19023,300
16,100,4.98962,300
17,100,0,283.791
18,100,9.03683,300
19,100,9.67704,300
20,100,9.85538,300
21,100,9.43354,300
22,100,0,286.072
23,100,9.06532,300
24,100,9.86434,300
