num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,581777.6,15514.0667,1115.9,0.60944848,3.65,0.009865898,14.8,2500.0,211.0145,299.3012
2,1326097.6,35362.606,2541.9,0.69412895,4.016667,0.011424018,40.2,2500.0,178.2182,298.0481
3,1804358.4,48116.22,3481.9,0.6338795,4.149999,0.011970159,40.1,2500.0,167.3261,296.8312
4,2367352.0,63129.37,4564.5,0.6232249,4.272143,0.011639356,54.3,2500.0,151.70765,295.1319
5,2754783.2,73460.89,5304.8,0.5794428,4.174444,0.01110363,68.7,2500.0,150.05063,293.5712
6,3372904.8,89944.13,6489.5,0.5907063,4.258333,0.011212323,72.0,2500.0,132.24659,292.4779
7,4075740.0,108686.37,7826.1,0.6106029,4.260715,0.011179154,97.4,2500.0,115.12405,290.0347
8,4436789.6,118314.28,8526.8,0.5821137,4.279327,0.011087944,98.6,2500.0,116.42026,289.8466
9,5123905.6,136637.57,9839.8,0.5971114,3.965387,0.009849951,112.4,2500.0,106.78513,287.5022
10,5486880.8,146316.84,10541.0,0.5756964,3.966984,0.009857997,136.7,2500.0,105.24266,285.8271
11,6031032.0,160827.6,11574.6,0.5746786,3.99707,0.009903932,158.7,2500.0,95.12425,283.7121
12,6474186.4,172645.08,12411.3,0.5648691,4.059241,0.009960043,172.3,2500.0,90.73914,281.9297
13,6755946.4,180158.61,12944.7,0.5438263,4.243189,0.010491081,160.2,2500.0,93.48553,282.1765
14,7263406.4,193690.94,13945.8,0.5440353,4.189286,0.010502622,181.8,2500.0,89.98174,281.2773
15,7630460.8,203479.1,14649.8,0.5333989,4.147144,0.01031356,187.1,2500.0,89.13866,280.2468
16,7769548.8,207187.9,14906.2,0.5088137,4.012595,0.009931136,207.4,2500.0,90.71238,280.8777
17,8361279.2,222967.3,16033.1,0.5150866,4.040395,0.010091142,216.5,2500.0,83.12018,278.7255
18,9019165.33333,240511.0,17270.3333333,0.524010444444,4.09876777778,0.00994977777778,258.555555556,2500.0,76.5626555556,277.769777778
19,9039263.2,241047.0,17335.2,0.4982954,4.099863,0.009742021,243.1,2500.0,77.69492,277.0418
20,9440232.88889,251739.666667,18087.5555556,0.493925777778,3.96993666667,0.00956589888889,257.444444444,2500.0,79.8350111111,277.345
21,9687746.4,258340.0,18580.3,0.48322,4.069612,0.009922683,256.0,2500.0,73.80125,275.688
22,10547079.2,281255.5,20222.6,0.5020259,4.083636,0.009978548,278.3,2500.0,66.61593,273.9665
23,11078460.0,295425.6,21230.2,0.5041244,4.065306,0.009740881,277.9,2500.0,61.79417,271.6684
24,11232033.7778,299520.888889,21534.5555556,0.490045444444,4.06712555556,0.00976703222222,268.666666667,2500.0,62.6012444444,271.942
