node_id,initial_energy,remaining_energy,lifetime
0,100,7.53151,300
1,100,0,241.428
2,100,9.55953,300
3,100,9.53961,300
4,100,9.74892,300
5,100,0,224.513
6,100,0,248.108
7,100,2.29546,300
8,100,8.93585,300
9,100,9.13785,300
10,100,0,231.435
11,100,0.570049,300
12,100,8.3038,300
13,100,9.02862,300
14,100,9.44102,300
15,100,0,269.851
16,100,8.4397,300
17,100,9.061,300
18,100,9.00767,300
19,100,9.19847,300
20,100,0.463998,300
21,100,9.04136,300
22,100,9.55839,300
23,100,9.58508,300
24,100,9.84712,300
