node_id,initial_energy,remaining_energy,lifetime
0,100,9.17485,300
1,100,5.75874,300
2,100,9.62326,300
3,100,9.17391,300
4,100,9.84453,300
5,100,0,288.092
6,100,5.19533,300
7,100,8.68005,300
8,100,8.81698,300
9,100,9.67694,300
10,100,0,284.777
11,100,8.01782,300
12,100,8.98716,300
13,100,9.07271,300
14,100,9.63154,300
15,100,8.7183,300
16,100,9.07087,300
17,100,9.10694,300
18,100,9.15463,300
19,100,9.17778,300
20,100,9.85284,300
21,100,9.18129,300
22,100,9.58495,300
23,100,9.66833,300
24,100,9.86636,300
