node_id,initial_energy,remaining_energy,lifetime
0,100,7.81014,300
1,100,0,246.286
2,100,0,299.419
3,100,0.119211,300
4,100,0.735189,300
5,100,0,265.484
6,100,0,265.914
7,100,7.7283,300
8,100,9.01463,300
9,100,9.0719,300
10,100,2.96478,300
11,100,0,293.288
12,100,5.34249,300
13,100,9.14573,300
14,100,9.52473,300
15,100,2.04301,300
16,100,3.66719,300
17,100,8.82852,300
18,100,9.17323,300
19,100,9.18974,300
20,100,0,296.888
21,100,5.41925,300
22,100,9.62842,300
23,100,9.65513,300
24,100,9.85551,300
